Date,Open,High,Low,Close,Adj Close,Volume,S&P_Gain,Invested_today,Invested,Investment_Value,Investment_Gain
2020-12-16,3696.25,3711.27001953125,3688.570068359375,3701.169921875,3701.169921875,4056950000,,0,0,0.0,
2020-12-17,3713.64990234375,3725.1201171875,3710.8701171875,3722.47998046875,3722.47998046875,4184930000,,0,0,0.0,
2020-12-18,3722.389892578125,3726.699951171875,3685.840087890625,3709.409912109375,3709.409912109375,7068340000,,0,0,0.0,
2020-12-21,3684.280029296875,3702.89990234375,3636.47998046875,3694.919921875,3694.919921875,4732160000,,0,0,0.0,
2020-12-22,3698.080078125,3698.260009765625,3676.159912109375,3687.260009765625,3687.260009765625,4023940000,,0,0,0.0,
2020-12-23,3693.419921875,3711.239990234375,3689.280029296875,3690.010009765625,3690.010009765625,3772630000,,0,0,0.0,
2020-12-24,3694.030029296875,3703.820068359375,3689.320068359375,3703.06005859375,3703.06005859375,1885090000,,0,0,0.0,
2020-12-28,3723.030029296875,3740.510009765625,3723.030029296875,3735.360107421875,3735.360107421875,3527460000,,0,0,0.0,
2020-12-29,3750.010009765625,3756.1201171875,3723.31005859375,3727.0400390625,3727.0400390625,3387030000,,0,0,0.0,
2020-12-30,3736.18994140625,3744.6298828125,3730.2099609375,3732.0400390625,3732.0400390625,3145200000,,0,0,0.0,
2020-12-31,3733.27001953125,3760.199951171875,3726.8798828125,3756.070068359375,3756.070068359375,3172510000,,0,0,0.0,
2021-01-04,3764.610107421875,3769.989990234375,3662.7099609375,3700.64990234375,3700.64990234375,5006680000,0.9912623204277102,1300,1300,1277.9131797904818,0.9830101383003705
2021-01-05,3698.02001953125,3737.830078125,3695.070068359375,3726.860107421875,3726.860107421875,4582620000,0.9982830301382326,0,1300,1286.9641214894343,0.9899724011457187
2021-01-06,3712.199951171875,3783.0400390625,3705.340087890625,3748.139892578125,3748.139892578125,6049970000,1.0039830692580716,0,1300,1294.312484245138,0.9956249878808754
2021-01-07,3764.7099609375,3811.550048828125,3764.7099609375,3803.7900390625,3803.7900390625,5080870000,1.018889611295811,0,1300,1313.5296643422375,1.0104074341094136
2021-01-08,3815.050048828125,3826.68994140625,3783.60009765625,3824.679931640625,3824.679931640625,4764180000,1.0244852131324946,0,1300,1320.7433888918324,1.0159564529937173
2021-01-11,3803.139892578125,3817.860107421875,3789.02001953125,3799.610107421875,3799.610107421875,4450500000,1.0177699677611196,0,1300,1312.0862449766837,1.0092971115205258
2021-01-12,3801.6201171875,3810.780029296875,3776.510009765625,3801.18994140625,3801.18994140625,4977210000,1.0181931447550445,0,1300,1312.6317952783306,1.0097167655987158
2021-01-13,3802.22998046875,3820.9599609375,3791.5,3809.840087890625,3809.840087890625,4590420000,1.0205101875724996,0,1300,1315.6188749781693,1.0120145192139764
2021-01-14,3814.97998046875,3823.60009765625,3792.860107421875,3795.5400390625,3795.5400390625,5180140000,1.0166797523901228,0,1300,1310.6807637405907,1.0082159721081467
2021-01-15,3788.72998046875,3788.72998046875,3749.6201171875,3768.25,3768.25,5353060000,1.0093697965284445,0,1300,1301.2569323825153,1.0009668710634734
2021-01-19,3781.8798828125,3804.530029296875,3780.3701171875,3798.909912109375,3798.909912109375,4982940000,1.0175824122645076,0,1300,1311.8444526315866,1.0091111174089127
2021-01-20,3816.219970703125,3859.75,3816.219970703125,3851.85009765625,3851.85009765625,4551790000,1.0317630595977862,0,1300,1330.1258255353184,1.0231737119502449
2021-01-21,3857.4599609375,3861.449951171875,3845.050048828125,3853.070068359375,3853.070068359375,4484460000,1.0320898430066323,0,1300,1330.5471073862427,1.0234977749124945
2021-01-22,3844.239990234375,3852.31005859375,3830.409912109375,3841.469970703125,3841.469970703125,5080430000,1.0289826212960242,0,1300,1326.541346756903,1.020416420582233
2021-01-25,3851.679931640625,3859.22998046875,3797.159912109375,3855.360107421875,3855.360107421875,6955860000,1.0327032567298613,0,1300,1331.3379066181158,1.0241060820139352
2021-01-26,3862.9599609375,3870.89990234375,3847.780029296875,3849.6201171875,3849.6201171875,6029090000,1.0311657332707103,0,1300,1329.3557658142179,1.0225813583186292
2021-01-27,3836.830078125,3836.830078125,3732.47998046875,3750.77001953125,3750.77001953125,9878040000,1.0046875794969143,0,1300,1295.2207230644312,0.9963236331264855
2021-01-28,3755.75,3830.5,3755.75,3787.3798828125,3787.3798828125,6937960000,1.0144939591827447,0,1300,1307.862888098148,1.006048375460114
2021-01-29,3778.050048828125,3778.050048828125,3694.1201171875,3714.239990234375,3714.239990234375,6612570000,0.9949025842767022,0,1300,1282.6061264047896,0.9866200972344535
2021-02-01,3731.169921875,3784.320068359375,3725.6201171875,3773.860107421875,3773.860107421875,5392870000,1.010872529358517,0,1300,1303.1942218866955,1.0024570937589965
2021-02-02,3791.840087890625,3843.090087890625,3791.840087890625,3826.31005859375,3826.31005859375,5495370000,1.0249218616857996,0,1300,1321.3063064260775,1.016389466481598
